rank,name,address,type,ca_name,placement_score,need,reach,recent_deaths_400m,nearest_nax_km,blight_score,hardship,transit_adjacent
217,SUN  SUMRINE FAST FOOD,321 N LARAMIE AVE,Corner store / food mart,AUSTIN,21.8,14.6,1.5,9,0.93,50.4,73,True
218,SHAKESPEAR ROSE CULINARY KITCHEN,6246 S ST LAWRENCE AVE,Corner store / food mart,WOODLAWN,21.6,14.4,1.5,15,0.35,17.2,58,True
219,COLES SUPPORTIVE LIVING,7419 S EXCHANGE AVE 1,Corner store / food mart,SOUTH SHORE,21.5,21.5,1.0,25,0.3,26.8,55,False
220,A & A FOOD MARKET,5000 W FULTON ST 1ST,Corner store / food mart,AUSTIN,21.0,21.0,1.0,13,1.08,50.4,73,False
221,"M & S # 2 FOOD MART, INC.",209 S LOTUS AVE 1,Corner store / food mart,AUSTIN,21.0,21.0,1.0,13,1.27,50.4,73,False
222,Doughlicious wraps,5237 W MADISON ST,Corner store / food mart,AUSTIN,21.0,21.0,1.0,13,1.24,50.4,73,False
223,AVALON EAT SHOP,1016 E 83RD ST,Corner store / food mart,CHATHAM,21.0,21.0,1.0,15,1.12,20.3,60,False
224,FAMILY DOLLAR #1629,8341 S COTTAGE GROVE AVE,Corner store / food mart,CHATHAM,21.0,21.0,1.0,15,1.21,20.3,60,False
225,ARTIST ROOM CAFE,5125 W MADISON ST 1ST,Corner store / food mart,AUSTIN,21.0,21.0,1.0,13,1.4,50.4,73,False
226,DUB J'S,459 N HAMLIN AVE,Corner store / food mart,HUMBOLDT PARK,20.9,20.9,1.0,14,0.47,34.9,85,False
227,JIMMY'S SANDWICH SHOP,4000 W GRAND AVE,Corner store / food mart,HUMBOLDT PARK,20.8,20.8,1.0,13,0.77,34.9,85,False
228,K & F FOOD CORP,957 N DRAKE AVE,Corner store / food mart,HUMBOLDT PARK,20.8,20.8,1.0,13,0.89,34.9,85,False
